,num_to_shelf,sim_thresh,merge_sim_thresh,batch_size,eons,i,size,std,num,is_shuffle,classifications,class_centers,error
69,50,0.93,0.87,32,50,0,2000,1.2,50,False,,,1.567953292676187
70,100,0.93,0.87,32,50,0,2000,1.2,100,True,,,3.060678385777347
71,100,0.93,0.87,32,50,0,2000,1.2,100,False,,,3.388242928266851
72,4,0.93,0.87,32,50,0,2000,1.5,4,True,,,0.184933894316217
73,4,0.93,0.87,32,50,0,2000,1.5,4,False,,,0.37257306286323405
74,6,0.93,0.87,32,50,0,2000,1.5,6,True,,,0.360332596727903
75,6,0.93,0.87,32,50,0,2000,1.5,6,False,,,0.42029279781148504
76,10,0.93,0.87,32,50,0,2000,1.5,10,True,,,0.582914652161006
77,10,0.93,0.87,32,50,0,2000,1.5,10,False,,,0.6900838096144221
78,20,0.93,0.87,32,50,0,2000,1.5,20,True,,,0.627536572189733
79,20,0.93,0.87,32,50,0,2000,1.5,20,False,,,1.103511366314736
80,50,0.93,0.87,32,50,0,2000,1.5,50,True,,,1.8089139575557351
81,50,0.93,0.87,32,50,0,2000,1.5,50,False,,,1.905688738169071
82,100,0.93,0.87,32,50,0,2000,1.5,100,True,,,3.239824780978037
83,100,0.93,0.87,32,50,0,2000,1.5,100,False,,,3.280209173255902
84,4,0.93,0.87,32,50,0,2000,2.0,4,True,,,0.23096428291401802
85,4,0.93,0.87,32,50,0,2000,2.0,4,False,,,0.26007935056813103
86,6,0.93,0.87,32,50,0,2000,2.0,6,True,,,0.36058494982571404
87,6,0.93,0.87,32,50,0,2000,2.0,6,False,,,0.44393157941738104
88,10,0.93,0.87,32,50,0,2000,2.0,10,True,,,0.617254785703442
89,10,0.93,0.87,32,50,0,2000,2.0,10,False,,,0.976246501642093
90,20,0.93,0.87,32,50,0,2000,2.0,20,True,,,0.8013358818591181
91,20,0.93,0.87,32,50,0,2000,2.0,20,False,,,1.033931605926253
92,50,0.93,0.87,32,50,0,2000,2.0,50,True,,,1.9689780937246972
93,50,0.93,0.87,32,50,0,2000,2.0,50,False,,,1.908810730785786
94,100,0.93,0.87,32,50,0,2000,2.0,100,True,,,3.461017391730254
95,100,0.93,0.87,32,50,0,2000,2.0,100,False,,,3.124331413632558
